product_title,product_price,price_range,approx_cdn_price,product_shipping,product_min_qty,product_rating,supplier_verified,review_count,common_review,product_link,item_searched,date
PU box packed assorted memo,1.00,US1.00-US2.00,1.31,0,1000 pieces,5.0,NO,6,good service,https://www.alibaba.com/product-detail/PU-box-packed-assorted-memo_60331633966.html,guiness memoribilia,2022-12-18
Paper Memo Cube Printing,0.55,US0.55-US3.00,0.72,0,500 pieces,4.8,NO,2,,https://www.alibaba.com/product-detail/Paper-Memo-Cube-Printing_2022494345.html,guiness memoribilia,2022-12-18
New design paper block note cube memo cube,0.68,US0.68-US2.00,0.89,0,100 pieces,0,NO,0,,https://www.alibaba.com/product-detail/New-design-paper-block-note-cube_1600703045100.html,guiness memoribilia,2022-12-18
2021 New Exquisite and Practical Memo Box Combination Exhibition Promotional Gifts,1.04,US1.04-US1.78,1.36,0,1000 pieces,5.0,NO,6,good service,https://www.alibaba.com/product-detail/2021-New-Exquisite-and-Practical-Memo_1600370219295.html,guiness memoribilia,2022-12-18
High Quality PET Material Sticky Memo Pad with Leather Set,0.90,US0.90-US2.90,1.18,0,500 pieces,5.0,NO,6,good service,https://www.alibaba.com/product-detail/High-Quality-PET-Material-Sticky-Memo_1600308649233.html,guiness memoribilia,2022-12-18
Memo Box Gift Stitching Soft Surface Shaped Color Memo Stickers Customizable LOGO Combination Convenience Sticker Memo Box,0.98,US0.98-US1.20,1.28,0,1000 pieces,5.0,NO,6,good service,https://www.alibaba.com/product-detail/Memo-Box-Gift-Stitching-Soft-Surface_1600376196947.html,guiness memoribilia,2022-12-18
Best seller wheelchair - - - invitation of CMEF and visit our factory,30.00,US30.00-US59.00,39.30,0,50.0 units,0,YES,0,,https://www.alibaba.com/product-detail/Best-seller-wheelchair--invitation-of_60211921817.html,guiness memoribilia,2022-12-18
cheapest price of wheelchair Philippines,35.00,US35.00-US37.00,45.85,0,50.0 pieces,0,YES,0,,https://www.alibaba.com/product-detail/cheapest-price-of-wheelchair-Philippines_1000380481.html,guiness memoribilia,2022-12-18
Multi functional full lying high back paralyzed patient aluminum alloy hydraulic folding wheelchair for the elderly,33.50,US33.50-US35.50,43.89,0,50 pieces,0,YES,0,,https://www.alibaba.com/product-detail/Multi-functional-full-lying-high-back_1600687679559.html,guiness memoribilia,2022-12-18
Manufacturer supply wheelchair sale promotional wheelchair 809 --- send inquiry and get sample free,34.00,US34.00-US49.00,44.54,0,140.0 pieces,0,YES,0,,https://www.alibaba.com/product-detail/Manufacturer-supply-wheelchair-sale-promotional-wheelchair_1600407844713.html,guiness memoribilia,2022-12-18
