product_title,product_price,regular_price,product_shipping,product_rating,amazon_prime,review_count,product_link,item_searched,date
"2BUT Guinness Decorative Bottle Caps Metal Tin Signs Cafe Beer Bar Decoration Plat 13.8""Inches Wall Art Plaque Vintage Home Decor",24.99,,,4.4,NO,90,https://www.amazon.com/2but-Guinness-Decorative-Decoration-Vintage/dp/B07XNQK4S1/ref=sr_1_1?keywords=guinness+memorabilia&qid=1671397212&sr=8-1,guiness memoribilia,2022-12-18
Bayyon Guinness Beer Dublin Ireland Bar Neon Light Sign12x8Inch,35.99,,,4.5,NO,69,https://www.amazon.com/Guinness-Beer-Dublin-Ireland-Bar/dp/B00I4RM5NQ/ref=sr_1_2?keywords=guinness+memorabilia&qid=1671397212&sr=8-2,guiness memoribilia,2022-12-18
Guinness Aluminum Bottle Cap Sign Vintage Merchandise | Guinness Official Metal Wall Decor | Durable Man Cave Wall Sign,29.99,,,4.4,NO,153,https://www.amazon.com/Guinness-Vintage-Aluminum-Bottle-Black/dp/B06VW9HMTZ/ref=sr_1_3?keywords=guinness+memorabilia&qid=1671397212&sr=8-3,guiness memoribilia,2022-12-18
YOMIA Beer Signs for Man Cave Bar Decor Vintage Metal Signs Bar Signs for Home Man Cave Decor 6 Pcs,29.99,,,4.9,NO,71,https://www.amazon.com/YOMIA-Guinness-Bathroom-Custom-Posters/dp/B07MW2WNSK/ref=sr_1_4?keywords=guinness+memorabilia&qid=1671397212&sr=8-4,guiness memoribilia,2022-12-18
"HWC Trading Framed 11"" x 14"" Print - Star Wars a New Hope Movie Poster Cast Signed Gift Mounted Printed Autograph Film Mark Hamill Harrison Ford Carrie Fisher Alec Guinness George Lucas Gifts Photo Picture Display",31.99,,,4.5,NO,13,https://www.amazon.com/HWC-Trading-Framed-Print-Autograph/dp/B09WVZSRML/ref=sr_1_5?keywords=guinness+memorabilia&qid=1671397212&sr=8-5,guiness memoribilia,2022-12-18
Guinness Vintages Beer Bar LED Neon Sign Man Cave A002-G,32.99,,,4.5,NO,155,https://www.amazon.com/Guinness-Vintages-Beer-Neon-A002-G/dp/B00VILK0ZU/ref=sr_1_6?keywords=guinness+memorabilia&qid=1671397212&sr=8-6,guiness memoribilia,2022-12-18
Buyartforless Guinness Beer Lovely Day Toucan on Weather-Vane 18x12 Advertising Art Print Poster Irish Stout Brew,14.99,16.00,,3.7,NO,8,https://www.amazon.com/Buyartforless-Guinness-Lovely-Weather-Vane-Advertising/dp/B01DN06URK/ref=sr_1_7?keywords=guinness+memorabilia&qid=1671397212&sr=8-7,guiness memoribilia,2022-12-18
"YOMIA 6 Pcs Beer Poster Tin Signs Decor, Funny Beer Signs for Man Cave Wall Decor 20x30cm",27.99,,,4.7,NO,39,https://www.amazon.com/YOMIA-Goodness-Guinness-Sings-20x30cm/dp/B07SKHQNRT/ref=sr_1_8?keywords=guinness+memorabilia&qid=1671397212&sr=8-8,guiness memoribilia,2022-12-18
"Bayyon Lovely day for Guinness Bottle Cap Decorative Bottle Caps Metal Tin Signs Cafe Beer Bar Decoration Plat 13.8"" Inches Wall Art Plaque Vintage Home Decor (White)",25.99,,,5.0,NO,3,https://www.amazon.com/Bayyon-Guinness-Decorative-Decoration-Vintage/dp/B09PKZ9QDT/ref=sr_1_9?keywords=guinness+memorabilia&qid=1671397212&sr=8-9,guiness memoribilia,2022-12-18
TYmall Metal Sign Wall Plaque Guinness Beer Horse Cart Ireland Great Britain Vintage Travel Art Retro Decor House Home Metal Poster Tin Signs 8X12 Inch,10.99,,,4.1,NO,21,https://www.amazon.com/TYmall-Guinness-Ireland-Britain-Vintage/dp/B085WJHZ5N/ref=sr_1_10?keywords=guinness+memorabilia&qid=1671397212&sr=8-10,guiness memoribilia,2022-12-18
Vintage tin Sign Darts Knowledge Coffee Shop bar Club Metal Sign Wall Decorative Art Printing Poster 8x12 inches,13.99,,,4.2,NO,92,https://www.amazon.com/Vintage-Knowledge-Coffee-Decorative-Printing/dp/B08Z7SH6VY/ref=sr_1_11?keywords=guinness+memorabilia&qid=1671397212&sr=8-11,guiness memoribilia,2022-12-18
MAP OF MIDDLE EARTH Engraved Pint Glass | Inspired by Lord of the Rings and Middle Earth | Great LOTR Gift Idea!,29.99,,,4.7,NO,249,https://www.amazon.com/MIDDLE-EARTH-Rings-Inspired-Engraved/dp/B08W7W9HWY/ref=sr_1_12?keywords=guinness+memorabilia&qid=1671397212&sr=8-12,guiness memoribilia,2022-12-18
ZOMOY Slainte Guinness Metal Tin Sign Vintage Metal Sign Retro Tin Sign Wall Art Poster Wall Signs For Bars Cafes Pubs Men Caves metalsign-20220305-1 0,10.99,,,4.6,NO,8,https://www.amazon.com/ZOMOY-Slainte-Guinness-Sign-Wall-metalsign-20220305-1/dp/B09TZHG54R/ref=sr_1_13?keywords=guinness+memorabilia&qid=1671397212&sr=8-13,guiness memoribilia,2022-12-18
Ultrathin LED Neon Sign Art Wall Lights for Bedroom Windows Glass Hotel Pub Cafe Wedding Birthday Party Gifts(It's 5:00 & Parrot),65.99,,,4.6,NO,422,https://www.amazon.com/Ultrathin-LED-Bedroom-Windows-Birthday/dp/B08G7ZTCBG/ref=sr_1_14?keywords=guinness+memorabilia&qid=1671397212&sr=8-14,guiness memoribilia,2022-12-18
Guinness Retro Funny Bar Wall Decor Home Decor Retro Sign Tin Sign 12 X 8 Inches,12.99,,,4.6,NO,32,https://www.amazon.com/Guinness-Retro-Funny-Decor-Inches/dp/B08VDTP8VQ/ref=sr_1_15?keywords=guinness+memorabilia&qid=1671397212&sr=8-15,guiness memoribilia,2022-12-18
Uptell My Goodness Guinness Metal Wall Sign 12x16 inch Plaque Vintage Retro Sign Art Picture Print,15.99,,,4.7,NO,23,https://www.amazon.com/Uptell-Goodness-Guinness-Vintage-Picture/dp/B07RJ2M49Q/ref=sr_1_16?keywords=guinness+memorabilia&qid=1671397212&sr=8-16,guiness memoribilia,2022-12-18
HWC Trading Alec Guinness Gift USL Framed Signed Printed Autograph Star Wars Gifts Obi-Wan Kenobi Print Photo Picture Display - US Letter Size,21.99,,,4.0,NO,10,https://www.amazon.com/HWC-Trading-Guinness-Printed-Autograph/dp/B09W761H3Y/ref=sr_1_17?keywords=guinness+memorabilia&qid=1671397212&sr=8-17,guiness memoribilia,2022-12-18
Guinness Metal Sign with Iconic Toucan with Football Design (20Cm X 30Cm),29.99,,,4.8,NO,46,https://www.amazon.com/Guinness-Iconic-Toucan-Football-Design/dp/B011BR5BZE/ref=sr_1_18?keywords=guinness+memorabilia&qid=1671397212&sr=8-18,guiness memoribilia,2022-12-18
