product_title,product_price,regular_price,product_shipping,supplier_rating,amazon_prime,review_count,product_link,item_searched,date
LEGO Creator 3in1 Supersonic-Jet 31126 Building Kit; Build a Jet Plane and Rebuild It into a Helicopter or a Speed Boat Toy; A Creative Gift for Passionate Fans Aged 7+ (215 Pieces),16.99,19.99,,4.8,YES,495,https://www.amazon.com/LEGO-Supersonic-Jet-Building-Helicopter-Passionate/dp/B09JKY3WBJ/ref=sr_1_1?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-1,supersonic underwater submarine,2022-08-27
"ArtCreativity Wind Up Submarine Toys for Kids, Set of 2, Water Swimming Toy Submarines, Fun Bathtub Toys for Kids, Underwater Party Favors for Boys and Girls, Unique Goodie Bag Fillers",12.99,,,3.8,YES,75,https://www.amazon.com/ArtCreativity-Submarine-Swimming-Submarines-Underwater/dp/B0933P94XB/ref=sr_1_2?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-2,supersonic underwater submarine,2022-08-27
2.4G Remote Control Shark Toy 1:18 Scale High Simulation Shark Shark for Swimming Pool Bathroom Great Gift RC Boat Toys for 6+ Year Old Boys and Girls (with 2 Batteries),27.99,38.98,,3.3,YES,3623,https://www.amazon.com/2-4G-Remote-Control-Shark-Toy/dp/B08CH6ZVL6/ref=sr_1_3?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-3,supersonic underwater submarine,2022-08-27
"RC Submarine, 1:40 Scale Real Working Mini Remote Control Sub with Handset for Under Water Action, Submerge and Surface, Gift for Kids & Adults, Yellow, Ages 8+",49.99,59.95,,2.8,YES,16,https://www.amazon.com/RC-Submarine-Working-Control-Submerge/dp/B094PXZDNG/ref=sr_1_4?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-4,supersonic underwater submarine,2022-08-27
haomsj Swimming Pool Toys Dive Torpedo-Shark （4-Pack）,6.99,,,4.3,YES,161,https://www.amazon.com/7color-Swimming-Pool-Torpedo-Shark-%EF%BC%884-Pack%EF%BC%89/dp/B01NBVF0LA/ref=sr_1_5?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-5,supersonic underwater submarine,2022-08-27
"EsOfficce 2.4 GHz Remote Control Shark Toy , 1:18 Scale High Simulation Shark, RC Shark for Swimming Pool, Underwater RC Boat Toy Gift for Boys Girls Age 6+, Gold Yellow",26.99,,,3.6,YES,60,https://www.amazon.com/EsOfficce-2-4-Remote-Control-Shark/dp/B099S4J3HL/ref=sr_1_6?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-6,supersonic underwater submarine,2022-08-27
Daron Herpa 520416 Passenger Gate Tower Airport Diorama Accessory 1:500 Scale,15.99,,,4.0,YES,68,https://www.amazon.com/Daron-Passenger-Airport-Diorama-Accessory/dp/B000B6BJLM/ref=sr_1_7?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-7,supersonic underwater submarine,2022-08-27
Aqua Large Stingray Glider - Single Pack - Underwater Pool Toy with Adjustable Fins Travel Up to 60 Feet - Navy/Light Blue,13.99,14.99,,4.2,YES,4116,https://www.amazon.com/Aqua-Stingray-Underwater-Self-Propelled-Adjustable/dp/B01N7FHXUX/ref=sr_1_8?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-8,supersonic underwater submarine,2022-08-27
YEIBOBO ! 6 Channels Mini RC Submarine Toy (Blue),29.99,,,3.6,YES,230,https://www.amazon.com/Urchins-Family-Channels-Mini-Submarine/dp/B07V4CX4SZ/ref=sr_1_9?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-9,supersonic underwater submarine,2022-08-27
"sublue WhiteShark Mix Underwater Scooter Dual Motors, Action Camera Compatible, Water Sports Swimming Pool Scuba Diving for Kids/Adults",449.99,,,4.2,YES,448,https://www.amazon.com/Sublue-WhiteShark-Underwater-Scooter-Arctic/dp/B07CQH15X7/ref=sr_1_10?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-10,supersonic underwater submarine,2022-08-27
"Green Toys Submarine in Yellow & blue - BPA Free, Phthalate Free, Bath Toy with Spinning Rear Propeller. Safe Toys for Toddlers, Babies",12.99,14.24,,4.8,NO,6028,https://www.amazon.com/Green-Toys-Submarine-Yellow-blue/dp/B008LQXRBE/ref=sr_1_11?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-11,supersonic underwater submarine,2022-08-27
"GoolRC Mini RC Submarine Boat, Remote Control Waterproof Diving Toy for Kids (White)",17.99,21.99,,2.9,YES,124,https://www.amazon.com/GoolRC-Submarine-Remote-Control-Waterproof/dp/B07Z9ZQXY7/ref=sr_1_12?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-12,supersonic underwater submarine,2022-08-27
